ID   ,Year              ,District      ,District_Id ,Usage_Type           ,Count     ,Using_Count ,Amount
1718 ,2016              ,Þiþli         ,       1663 ,Yabancý Temsilcilik  ,114       ,114         ,"168,738,500"
1719 ,2016              ,Þiþli         ,       1663 ,Ticari               ,"48,171"  ,"43,068"    ,"168,738,500"
1720 ,2016              ,Þiþli         ,       1663 ,Sanayi Tesisleri     ,260       ,260         ,"168,738,500"
1721 ,2016              ,Þiþli         ,       1663 ,Resmi Kurum          ,"9,188"   ,"9,133"     ,"168,738,500"
1722 ,2016              ,Þiþli         ,       1663 ,Mesken               ,"133,158" ,"130,024"   ,"168,738,500"
1723 ,2016              ,Þiþli         ,       1663 ,Ýbadethane           ,156       ,148         ,"168,738,500"
1724 ,2016              ,Þiþli         ,       1663 ,Hayýr Kurumu ve Müze ,337       ,336         ,"168,738,500"
1726 ,2016              ,Tuzla         ,       2015 ,Ticari               ,"26,087"  ,"17,826"    ,"197,805,249"
1727 ,2016              ,Tuzla         ,       2015 ,Sanayi Tesisleri     ,717       ,717         ,"197,805,249"
1728 ,2016              ,Tuzla         ,       2015 ,Resmi Kurum          ,"5,609"   ,"5,488"     ,"197,805,249"
1729 ,2016              ,Tuzla         ,       2015 ,Mesken               ,"103,052" ,"97,962"    ,"197,805,249"
1730 ,2016              ,Tuzla         ,       2015 ,Ýbadethane           ,115       ,112         ,"197,805,249"
1731 ,2016              ,Tuzla         ,       2015 ,Hayýr Kurumu ve Müze ,32        ,32          ,"197,805,249"
1733 ,2016              ,Ümraniye      ,       1852 ,Ticari               ,"40,873"  ,"33,423"    ,"257,021,653"
1734 ,2016              ,Ümraniye      ,       1852 ,Sanayi Tesisleri     ,641       ,641         ,"257,021,653"
1735 ,2016              ,Ümraniye      ,       1852 ,Resmi Kurum          ,"4,276"   ,"4,142"     ,"257,021,653"
1736 ,2016              ,Ümraniye      ,       1852 ,Mesken               ,"251,302" ,"246,31"    ,"257,021,653"
1737 ,2016              ,Ümraniye      ,       1852 ,Ýbadethane           ,316       ,304         ,"257,021,653"
1738 ,2016              ,Ümraniye      ,       1852 ,Hayýr Kurumu ve Müze ,233       ,219         ,"257,021,653"
1739 ,2016              ,Üsküdar       ,       1708 ,Ticari               ,"24,594"  ,"22,101"    ,"228,846,400"
1740 ,2016              ,Üsküdar       ,       1708 ,Sanayi Tesisleri     ,2         ,2           ,"228,846,400"
1741 ,2016              ,Üsküdar       ,       1708 ,Resmi Kurum          ,"9,211"   ,"8,828"     ,"228,846,400"
1742 ,2016              ,Üsküdar       ,       1708 ,Mesken               ,"207,42"  ,"201,002"   ,"228,846,400"
1743 ,2016              ,Üsküdar       ,       1708 ,Ýbadethane           ,404       ,375         ,"228,846,400"
1744 ,2016              ,Üsküdar       ,       1708 ,Hayýr Kurumu ve Müze ,469       ,460         ,"228,846,400"
1745 ,2016              ,Zeytinburnu   ,       1739 ,Ticari               ,"16,093"  ,"14,498"    ,"94,703,330"
1746 ,2016              ,Zeytinburnu   ,       1739 ,Sanayi Tesisleri     ,89        ,89          ,"94,703,330"
1747 ,2016              ,Zeytinburnu   ,       1739 ,Resmi Kurum          ,"4,869"   ,"4,349"     ,"94,703,330"
1748 ,2016              ,Zeytinburnu   ,       1739 ,Mesken               ,"91,864"  ,"89,15"     ,"94,703,330"
1749 ,2016              ,Zeytinburnu   ,       1739 ,Ýbadethane           ,95        ,95          ,"94,703,330"
1750 ,2016              ,Zeytinburnu   ,       1739 ,Hayýr Kurumu ve Müze ,163       ,92          ,"94,703,330"
1751 ,2017              ,Adalar        ,       1103 ,Yabancý Temsilcilik  ,7         ,7           ,"6,657,897"
1752 ,2017              ,Adalar        ,       1103 ,Ticari               ,756       ,733         ,"6,657,897"
1753 ,2017              ,Adalar        ,       1103 ,Resmi Kurum          ,357       ,350         ,"6,657,897"
1754 ,2017              ,Adalar        ,       1103 ,Mesken               ,"8,456"   ,"8,298"     ,"6,657,897"
1755 ,2017              ,Adalar        ,       1103 ,Ýbadethane           ,9         ,8           ,"6,657,897"
